Q,A
거기 콜라 다 있어?,바로 그거야.
바로 그거야.,좋아
같이 할래?,"아니, 둘 다 콰알루드에... 불운이야"
"아니, 둘 다 콰알루드에... 불운이야",맞아.
내 결혼생활이 최악이야. 헛소리. 큰 똥 더미.,아마 너의 결혼생활은 잠시 곡식을 쉬어야 할 것이다.
아마 너의 결혼생활은 잠시 곡식을 쉬어야 할 것이다.,그녀는 나를 싫어한다. 끝났어. 결혼하자마자 모든 것이 달라지는 것을 보게 될 것이다. 정말 끝까지 해내고 싶은 거야?
그녀는 나를 싫어한다. 끝났어. 결혼하자마자 모든 것이 달라지는 것을 보게 될 것이다. 정말 끝까지 해내고 싶은 거야?,바뀐다는 게 무슨 말이야?
"얘들아, 난 여기 있는 게 더 나을 것 같아.","이봐, 래리. 잘 지내세요."
"이봐, 래리. 잘 지내세요.",난 그냥 혼자 있고 싶어.
난 그냥 혼자 있고 싶어.,"좋아 이제, 냉장고에 우유와 쿠키가 있다. ""팔콘 크레스트"" 끝나면 바로 자."
라르... 가끔 사람들이 화가 나면 뜻하지 않은 말을 해.,"아니, 그녀는 나를 싫어해... 여기서 모든 걸 끝내고 싶어 지금 당장"
너 괜찮니?,"응, 그런 것 같아."
"응, 그런 것 같아.",정말?
정말?,"그래, 네 말이 맞는 것 같구나 자, 파티를 합시다."
도대체 너는 뭘 하고 있는 거냐?,손목을 부러뜨리려고 해.
손목을 부러뜨리려고 해.,전기면도기로 자살하려는 거야?
전기면도기로 자살하려는 거야?,면도날을 찾을 수가 없었다.
면도날을 찾을 수가 없었다.,"음, 이건 정말 굉장해. 이제 매끈하고 키스할 수 있는 손목도 갖게 될 거야 그냥 밖으로 나가. 모든 것을 잊고 웃어라."
"음, 이건 정말 굉장해. 이제 매끈하고 키스할 수 있는 손목도 갖게 될 거야 그냥 밖으로 나가. 모든 것을 잊고 웃어라.","하, 하, 하."
"하, 하, 하.","아니, 먼저 재미있게 놀아라. 그럼 웃어라. 이제 결혼은 잠시 잊어라. 파티에 가다."
안녕 얘들아 우리는 친구를 데려왔다.,불윙클이다.
내 잘못이야. 그가 죽은 이유는... 내가 그 약들을 놔뒀어...,정말 다 네 잘못이 아니야. 아까 마이크랑 얘기했는데 문제가 많았어. 개인적인 일들 말이야 투자를 잘못했어. 적어도 지금은 평화롭잖아...
그것들 중 하나라도 맞는 게 있나?,여기는 파크뷰 호텔이다. 난 호텔 매니저야. 누굴 찾으십니까?
여기는 파크뷰 호텔이다. 난 호텔 매니저야. 누굴 찾으십니까?,"그래, 너. 우리 방을 찾고 있는데... 1002."
10층에 있다.,"뭘 알아, 그들이 옮겼어. 다음에 봐"
목소리 좀 낮춰. 이 곳은 존경할 만한 곳이다. 우리는 여기서 어떤 재미있는 일에도 가지 않는다. 바로 그때 무스헤드 맥주 모자를 쓴 GIGH와 무스 의상을 입은 TWO GINS가 그를 지나쳐 소년들과 함께 엘리베이터로 들어간다.,무슨 말인지 알겠어... 넌 아름다운 남자야. 그리고 넌 빌어먹을 일을 잘하고 있어.
당신들 모두 체포한다 문 열어!,"주목하세요. 내가 제일 먼저 말해도 될까, 급습이다!"
아이고!,"좋아, 누가 서브하지?"
"릭, 공을 좀 더 세게 쳐, 아들아. 죽일 필요 없어",그냥 좀 어설프게 하면 안 될까?
"글쎄, 내 경기가 녹슬었다는 건 인정해야겠지만, 난 폴로를 좋아해. 그것은 끊임없이 감각에 도전하는, 정말 아름다운 경험이었습니다.","릭, 난 B.S.를 잘라내고 싶어."
"릭, 난 B.S.를 잘라내고 싶어.",난 그걸 좋아한다.
난 그걸 좋아한다.,"좋아, 넌 개자식인 것 같아 아니, 내가 고쳐줄게 철없는 개자식아 괜찮아, 네가 내 딸과 결혼한다는 것만 빼면 내 손주들이 멍청해질까봐 걱정돼"
"좋아, 넌 개자식인 것 같아 아니, 내가 고쳐줄게 철없는 개자식아 괜찮아, 네가 내 딸과 결혼한다는 것만 빼면 내 손주들이 멍청해질까봐 걱정돼","토머슨 씨, 전..."
"토머슨 씨, 전...",내가 끝낼게. 데비는 성인이야. 그녀는 자신이 원하는 것을 할 수 있다. 하지만 결혼 생활이 지속되려면 자신에 대한 몇 가지를 바꿔야 할 것이다. 만약 내가 몇 가지 제안을 한다면...
내가 끝낼게. 데비는 성인이야. 그녀는 자신이 원하는 것을 할 수 있다. 하지만 결혼 생활이 지속되려면 자신에 대한 몇 가지를 바꿔야 할 것이다. 만약 내가 몇 가지 제안을 한다면...,마음 편히 먹어라.
마음 편히 먹어라.,"첫째, 넌 게으름뱅이야. 성공을 위해 옷을 입어야 한다. 둘째, 당신의 인생관..."
"어서 오십시오, 어서 오십시오.",릭!
릭!,"오, 안돼!"
끝.,어떤 흐느낌 이야기도 내 마음을 바꿀 수 없을 것이다.
"에비, 게르... 음... 레이블...","손님, 물론입니다. 그래서 설명이 되네. 가죽은 비타민 E의 좋은 공급원이다."
어... 이제 그만해야 할 것 같아.,"아니, 적어도 세트를 끝내자."
"얘들아, 우리 점심 먹으러 안으로 들어가지 않을래? 얘들아, 저 레모네이드 좀 가져다 줄래?","금방... 그리고 넌 무책임해. 어떤 진취성을 보여라, 자신을 더 낫게 하려고 노력하라, 뽐내는 것을 멈추라, 행동은 말보다 더 크게 말한다."
그 사람이 내 딸과 결혼한다는 생각을 하니 기분이 좋아진다.,친구를 보면 사람을 알 수 있다.
에드... 너 꼬부라져!,전화기 때문에 그랬어!
전화기 때문에 그랬어!,이상한 섹스를 하고 있었구나...!
이상한 섹스를 하고 있었구나...!,"아니, 브렛, 난..."
"아니, 브렛, 난...",괜찮아... 나도 그랬어.
어떻게 지내? 내 이름은 오닐이야 그리고 당신은...?,클루프너. 클루프너 부인
클루프너. 클루프너 부인,부인?
부인?,나 별거중이야.
나 별거중이야.,그러면 신이 있다. 아기 사진을 찍지 않을래?
거기서 네 드레스가 한 번 빛나고 있어. 단추 몇 개 풀어 주시겠습니까?,물론이지
어디로 갔지?,"아마 12시 30분에 섹스할 예정이었겠죠 오닐, 술 한잔 하러 남자들 데리러 가자... 주요 뉴스가 있어"
대체 어디 있는 거야?,"래리를 알고 있었으므로, 그는 아마도 비행기를 놓쳤을 것이다."
무슨 일이야?,아무것도... 미쳐버리자!
'팬츠 없는 님포스'랑 한 시간 동안 같이...,올리비에가 그 안에 있지?
올리비에가 그 안에 있지?,그럼 진짜가 되는 거지
"실례지만, 이건 바티칸을 거닐고 있는 것만큼 흥미진진하다.",이건 옳지 않아.
옛 친구들이 들르는 게 좋지 않니?,"야, 나 배고파... 가서 뭐 좀 먹읍시다. 우리는 모두를 위해 음식을 가지고 올 것이다."
"야, 나 배고파... 가서 뭐 좀 먹읍시다. 우리는 모두를 위해 음식을 가지고 올 것이다.",나는 배가 별로 안 고프다.
나는 배가 별로 안 고프다.,"이봐, 난 그렇게 주장해"
도대체 뭐가 어떻게 된거야?,너에게 주는 내 선물.
너에게 주는 내 선물.,테이블 아래!
테이블 아래!,집에서 제일 좋은 테이블.
내 생각에 너는 이 테이블을 즐길 수 있을 것 같아.,"오래오래, 아버지."
이해가 안 돼 방금 왜 안 했어?,"나도 몰라. 데비를 사랑해서 그런지, 아니면 계란 샐러드 냄새가 나는 곳에서 내리기가 힘들 것 같아. 잘 모르겠어."
"릭, 걱정돼",뭐에 대해서?
뭐에 대해서?,이건 네 총각 파티야. 넌 아직 누구와도 섹스를 한 적이 없어.
이건 네 총각 파티야. 넌 아직 누구와도 섹스를 한 적이 없어.,몇 잔만 마시고 춤추자 무슨 일이 일어나는지 보자구.
몇 잔만 마시고 춤추자 무슨 일이 일어나는지 보자구.,난 네가 거부할 수 없는 것을 가지고 있어. 난 트레이시라는 친구가 있어 그녀는 너를 만나고 싶어 한다. 그녀는 비위를 맞추는 것을 좋아한다.
난 네가 거부할 수 없는 것을 가지고 있어. 난 트레이시라는 친구가 있어 그녀는 너를 만나고 싶어 한다. 그녀는 비위를 맞추는 것을 좋아한다.,ㅇㅇㅇㅇ.
ㅇㅇㅇㅇ.,"바로 그 안에, 친구."
"바로 그 안에, 친구.",30분 안에 안 나오면 구급대원을 보내
30분 안에 안 나오면 구급대원을 보내,저 늙은 릭이야!
어떻게 됐어?,"이렇게 말해, 주걱으로 침대에서 그녀를 캐내야 할 거야, 아저씨."
"이렇게 말해, 주걱으로 침대에서 그녀를 캐내야 할 거야, 아저씨.","난 네가 자랑스러워, 꼬마야."
누구야?,나도 몰라.
나도 몰라.,이게 뭐야?
이게 뭐야?,알았어
이건 어때?,아직도 빈칸을 긋고 있다.
낯이 익은데?,아주.
아주.,"이봐, 창녀들을 동그랗게 모아 코치즈를 폐업시키는 게 좋겠어"
"자, 문제 일으키지 마.",몸조심해
"이봐, 너희들...",네 친구는 누구니?
트로이 목마 당나귀는 어때?,"그리고 여기 마이크의 파트너가 있는데, 여러 가지 면에서 볼 때, 행복은 영장류로 끝난다고 생각하지 않는 여자. 아주 사랑스러운 데지레 양..."
어떻게 할 거야?,내가 무엇을 할 수 있을까? 난 죽었어. 데비가 미쳐 모든 걸 끝낼 거야
내가 무엇을 할 수 있을까? 난 죽었어. 데비가 미쳐 모든 걸 끝낼 거야,내가 막을게... 네가 그를 붙잡아.
손을 뻗어 누군가를 코웃음을 쳐라.,난 구원받았다. 파티하자!
누가 여기있는지 추측해봐? 또 다른 깜짝 게스트.,누구?
누구?,데비
데비,내 데비?
내 데비?,복장이 왜 저래?
나도 몰라... 그녀에게 다가가서 그녀를 모르는 것처럼 만들어서 다른 침실로 보내세요.,알았어
"넌 항상 교활했어, 스탠 아주 교활했어","릭, 결혼이 너에게 좋을 거야. 그것은 나에게 놀라운 일을 해 주었다."
"릭, 결혼이 너에게 좋을 거야. 그것은 나에게 놀라운 일을 해 주었다.","맞아, 넌 이제 일손이 많이 늘었어. 벌써 피가 충분하지 않니?"
"맞아, 넌 이제 일손이 많이 늘었어. 벌써 피가 충분하지 않니?","독신인 건 하나도 놓치지 않을 거야 야한 파티, 매일 밤마다 다른 여자애들이 미친 듯이 뛰어다니고... 맙소사, 난 그게 그리워."
"독신인 건 하나도 놓치지 않을 거야 야한 파티, 매일 밤마다 다른 여자애들이 미친 듯이 뛰어다니고... 맙소사, 난 그게 그리워.","스탠, 날 우울하게 하는군... 야, 네가 그걸 채울 줄 몰랐어. 몇 갤런만 마셔, 알았지?"
그건 공평한 거래야... 내 모든 피를 담는 솜뭉치,"좋아, 릭 다 끝났어 그 총각 파티가 너무 기다려져... 나는 행동이 필요하다."
"아니, 괜찮아. 형은 하루 종일 노인네 엉덩이만 뒤져 봐야 한다. 그를 좀 쉬게 합시다.",맞아. 나한테 살 의욕을 줘. 내가 먼저 갈게.
"정말 고마워, 그게 최고였어. 다음은 너야.","아니, 아직은 아니야. 이봐, 넌 내 오빠야. 조언이 좀 필요해 결혼은 어떻게 된 거야? 내가 무엇을 기대할 수 있을까?"
"아니, 아직은 아니야. 이봐, 넌 내 오빠야. 조언이 좀 필요해 결혼은 어떻게 된 거야? 내가 무엇을 기대할 수 있을까?","글쎄, 첫 달은 굉장해. 두 번째 달은 상황이 좀 진정되었다. 세 번째 달에는 옛 여자 친구들의 전화번호를 훑어보고, 네 번째 달에는 감각이 없어지고, 다섯 번째 달에는 축구 시즌이 시작되길 바란다."
"글쎄, 첫 달은 굉장해. 두 번째 달은 상황이 좀 진정되었다. 세 번째 달에는 옛 여자 친구들의 전화번호를 훑어보고, 네 번째 달에는 감각이 없어지고, 다섯 번째 달에는 축구 시즌이 시작되길 바란다.","고마워, 스탠 넌 많은 도움이 됐어"
오... 이건... 어... 맥주 컨벤션에 참가한 사람들 우리가 그들을 파티에 데려갈 거야,"잘됐네, 그거 타고 화장실은 어떻게 가?"
"또 늦었구나, 릭","알아, 수녀님, 하지만 좋은 핑계가 있어"
"알아, 수녀님, 하지만 좋은 핑계가 있어",지각은 변명의 여지가 없다.
지각은 변명의 여지가 없다.,"네 말이 전적으로 옳다. 물에 빠진 저 아기를 구하기 위해 멈추지 말았어야 했어 난 그냥 약해, 자매여, 난 너무 약해."
"언니, 술 먹고 외로워한 적 있어? 만약 그렇다면, 나한테 전화하는 게 어때? 난 책 속에 있다.","가, 릭... 지금 상태로는 충분히 늦었어"
"가, 릭... 지금 상태로는 충분히 늦었어",그렇군... 곰곰이 생각해 보아라.
이 당나귀를 어떻게 안으로 들여보내?,나도 몰라.
나도 몰라.,뭐? 다 알아냈다고 한 줄 알았는데
뭐? 다 알아냈다고 한 줄 알았는데,어쩌면 내가... 기억이 안 나.
어쩌면 내가... 기억이 안 나.,널 수술실로 데려가고 싶어 딱 한 번.
얼마나 완벽한지 믿을 수 있어?,"그래, 둘 다 138사이즈 일반인이 될 줄 누가 알았겠어?"
"오, 이런 순간들이 날 시험해봐...",얌전하게 굴어라.
창문까지 씻으라고?,"아니, 그 개자식을 정면으로 때릴 거야."
"아니, 그 개자식을 정면으로 때릴 거야.","반짝일 거야, 스티비 우린 뒤로 가야 해"
"반짝일 거야, 스티비 우린 뒤로 가야 해","아니, 들어봐. 겁쟁이다. 그냥 우리를 찌를 거야. 깜박거리지 않을 거야. 천장을 높이 올라가다."
프래니야 그녀는 소방관을 좋아한다.,"팀, 알람 카드를 작성해 파이프 폴을 청소하고 래더를 닦은 후 호스를 걸어 두십시오."
"젠장, 스티븐, 그만둬! 이 멍청한 새끼, 언제 그만둬야 할지 모르잖아, 안 그래? 네 경력이 왜 변기에 있는지 궁금해 본 적 있어? 왜 평생 중위에 갇히려고 그래?","아니, 한잔 해야겠어"
너 노울튼 잘 알아?,네...
네...,"좀 개자식이지, 안 그래?"
2개 대대 중 가장 크다.,우린 괜찮을 거야
"애드콕스, 펜젤리랑 같이 가서 반대쪽을 확인해봐.",그건 안전하지 않아 우리한테 아부하지 마. 이번 건은 안 돼.
그건 안전하지 않아 우리한테 아부하지 마. 이번 건은 안 돼.,"- 대체 왜 그러는 거야? 넌 항상 다른 쪽을 체크해. 난 지금 헛소리 할 시간 없어, 알겠지? 우린 여기 취직했어."
"- 대체 왜 그러는 거야? 넌 항상 다른 쪽을 체크해. 난 지금 헛소리 할 시간 없어, 알겠지? 우린 여기 취직했어.","내가 앞장설게, 스티븐..."
"내가 앞장설게, 스티븐...",빌어먹을 애드콕스! 그냥 네 일이나 해!
"오, 스티븐, 내 말 들어봐...",- 대체 무슨 생각을 하고 있었던 거야? 불타는 사람들? 넌 소방관이야.
- 대체 무슨 생각을 하고 있었던 거야? 불타는 사람들? 넌 소방관이야.,소방관들을 죽이고 있었어 샐리가 스웨이지의 파일에 있는 걸 보여줬을 때... 그들은 내 친구들이었다. 나는 그것을 해야만 했다. 나는 부서를 위해 그것을 해야 했다.
- 그만둬!,- 친구들한테 등을 돌리게 놔둘 순 없어
"...어떻게 했으면 좋겠소, 스티븐? 말 좀 해봐. 내가 어떻게 해야 하지?","불이 났어. 우린 여기 일이 있어 자, 어서 하지"
이 멍청한 자식아! 뭐하는 거야!,스티비... 난...
"안녕, 아기 맥카프리. 첫 번째가 결정권이다. 잘했어.",우리 중위는 그것에 대해 할 말이 있을지도 몰라.
우리 중위는 그것에 대해 할 말이 있을지도 몰라.,"아, 다들 망쳐놨어, 브라이언 넌 가장 힘든 중위를 위해 일하고 있어 한번은 그가 너무 느리게 움직이고 있다고 생각되는 프로비를 집어 불타는 건물로 던져 버리는 것을 본 적이 있다. 네가 가족인 건 정말 운이 안 좋아."
"아, 다들 망쳐놨어, 브라이언 넌 가장 힘든 중위를 위해 일하고 있어 한번은 그가 너무 느리게 움직이고 있다고 생각되는 프로비를 집어 불타는 건물로 던져 버리는 것을 본 적이 있다. 네가 가족인 건 정말 운이 안 좋아.","존, 거기 들어가면... 불 속에서... 혹시..."
그가...,그는 살아있다.
팀을 위해서 그랬어?,"그건 사고였어! 맙소사, 왜 그렇게 일찍 들어가야 했어? 왜 내 말을 듣지 않았니!"
내가 끝내게 해줘야 해.,"그냥 내려와, 존. 그냥 --"
"그냥 내려와, 존. 그냥 --",- 닥쳐! 네 아빠는 네가 자기 부서에 똥을 싸는 걸 보면 토할 거야!
- 그는 사람들을 죽였어 -,- 스웨이지잭이 이 일이 알려지면 그 부서에 어떤 영향을 미칠지 아십니까? -
- 스웨이지잭이 이 일이 알려지면 그 부서에 어떤 영향을 미칠지 아십니까? -,"- 스티븐, 이건 말도 안 돼 -"
"- 스티븐, 이건 말도 안 돼 -",-- 아버님 부서에 무슨 짓을 하시겠습니까? 내가 끝낼 수 있게 해줘.
그렇게 되지 않는다.,누가 물어봤어?
누가 물어봤어?,그렇게 하면 불 속에서 열릴 것이다. 그럼 화상을 입고 죽게 될 거야
여기 뭐가 있는지 봐 멋진 의상. 렌트?,"내 졸업식에 와줘서 고마워, 스티븐. 그것은 나에게 큰 영감이었다."
"내 졸업식에 와줘서 고마워, 스티븐. 그것은 나에게 큰 영감이었다.",그럼 이제 화재를 진압할 건가?
"너한테는 안 먹혀. 나중에 보자, 동생아.",그럴 것 같지 않다.
그럴 것 같지 않다.,"글쎄, 벌써 틀렸구나. 피츠제럴드 서장과 얘기했는데 형제애에 대한 관심으로 마을 반대편에 서 있으면 안 된다고 결정했어 내일부터 17번 회사에 네가 배정된 거야. 우리 회사. 스카치 한 상자, 늙어서 점점 싸지는군, 브라이언..."
난 네가 그곳에 해놓은 게 맘에 든다.,따라오고 있어... 맥주 마실래?
소방서를 뜯어냈나?,애드콕스가 나한테 준 오래된 물건이야 어차피 부서에서 버리려고 했거든 그래도 이 욕조로는 충분해
"맙소사, 실제 작전 8트랙이야","뭐, 한 번도 본 적 없어?"
"뭐, 한 번도 본 적 없어?",필드 박물관에서 한 번.
필드 박물관에서 한 번.,효과가 있다.
효과가 있다.,네가 6학년이었을 때 효과가 있었어.
사람들이 이걸로 돈을 줬다고?,"수백만, 스티븐 -- 그리고 성적인 호의."
"수백만, 스티븐 -- 그리고 성적인 호의.",양은 세지 않는다.
양은 세지 않는다.,네? 로라는..
네? 로라는..,그것은 결코 증명되지 않았다.
"왜 여기 온 거야, 브라이언?","네가 왜 내 역 과제를 망쳤는지 알고 싶었어. 내 말은, 이게 정말 그 큰 형 중 한 명에게 - ""넌 내 GI 조를 망가뜨렸고 난 아직도 열 받았어"" 게임?"
"네가 왜 내 역 과제를 망쳤는지 알고 싶었어. 내 말은, 이게 정말 그 큰 형 중 한 명에게 - ""넌 내 GI 조를 망가뜨렸고 난 아직도 열 받았어"" 게임?","왜 그래, 응? 어떻게 하면 새롭고 놀라운 일을 망칠 수 있을까? 그 스카치 개소리? 네가 갑자기 가족 사업에 대해 불평하는 걸 느꼈기 때문에 네가 집으로 기어들어왔다는 걸 정말 믿어야 하는 거야? 넌 파산했어."
"왜 그래, 응? 어떻게 하면 새롭고 놀라운 일을 망칠 수 있을까? 그 스카치 개소리? 네가 갑자기 가족 사업에 대해 불평하는 걸 느꼈기 때문에 네가 집으로 기어들어왔다는 걸 정말 믿어야 하는 거야? 넌 파산했어.",야! 너 나 몰라?
야! 너 나 몰라?,"난 네가 차갑다는 걸 알아, 브라이언. 무서운 건, 아마 한동안 속일 수도 있었을 거야 하지만 이 일에는 숨을 곳이 없어 통나무 오두막을 파는 건 아니잖아 너는 여기서 나쁜 날을 보내고 있다. 누군가가 죽는다. 그리고 그건 충분하지 않아. 맥주 한 잔 더 할래?"
"난 네가 차갑다는 걸 알아, 브라이언. 무서운 건, 아마 한동안 속일 수도 있었을 거야 하지만 이 일에는 숨을 곳이 없어 통나무 오두막을 파는 건 아니잖아 너는 여기서 나쁜 날을 보내고 있다. 누군가가 죽는다. 그리고 그건 충분하지 않아. 맥주 한 잔 더 할래?","그래, 그게 다야? 내가 피를 토할 때까지 형이 날 태워다 준다고?"
"그래, 그게 다야? 내가 피를 토할 때까지 형이 날 태워다 준다고?",큰 나쁜 형이 너를 다른 프로비처럼 대할 거야. 내 생각엔 그럴 수 없을 것 같아.
기술이 할 수 있는 것은 아주 많다. 맥주 고마워.,스피커 고마워.
"나도 알아, 난 소방관이 되고 싶지 않다고 수없이 말했어. 나는 전통과 가족의 유산에 대해 그 대사에게 헛소리를 했다. 내가 헤어진 거 알아 그리고 네가 어떻게 느꼈는지 알아...","그래, 너도 알잖아. 기분이 어땠는지 알잖아."
"그래, 너도 알잖아. 기분이 어땠는지 알잖아.","난 이걸 해야 해, 스티븐. 난 알아야만 해."
"난 이걸 해야 해, 스티븐. 난 알아야만 해.","알아낼 수 있을 것 같아, 내일 지각하지 마라."
"맘에 들어, 프로비?","난 천국에 있어, 중위."
"난 천국에 있어, 중위.",스탠드 파이프에 연결시켜줘
직접 주문할 때 기억력이 엄청 짧잖아 내 옆에 있으라고 했잖아.,"- 크몬, 스티븐."
"- 크몬, 스티븐.","- 팀을 갈라놨잖아, 임마. 스탠드파이프가 왜 저러지? 당신과 호스는 전에 소개된 적이 없다고 생각할 겁니다."
"젠장, 스티븐!",- 내 옆에 있으라고 했잖아!
- 내 옆에 있으라고 했잖아!,- 하고 있었어! 난 거기서 빌어먹을 짓을 하고 있었어. 내가 무슨 짓을 했는지도 모르잖아!
- 하고 있었어! 난 거기서 빌어먹을 짓을 하고 있었어. 내가 무슨 짓을 했는지도 모르잖아!,"네가 한 짓은 공을 떨어뜨린 거야, 프로비 그것을 바로 잡아라."
"아가씨들, 호스를 굴리자...",- 신경쓰지 마십시오.
고마워,브라이언 -- -- 오늘 밤에 봅시다.
이봐,이봐
그래서 잭슨이랑 같이 다니는 로이드 있어?,"아니, 그는 아무것도 아니야. 그냥 가끔... 때론 누군가를 때려눕혀야 해, 알지?"
"이봐, 브라이언, 사진작가. 아마 나도 LIFE 잡지의 표지에 오를 수 있을 거야.","이봐, 집으로 기어가자."
"맙소사, 여긴 너무 밝아서... 빌어먹을 스포트라이트처럼... 난 장님으로 갈 거야...",이건?
이건?,그래... 너무 밝은...
호스를 굴려라.,"뭐야, 장난해? 혼자?"
"뭐야, 계단이야? 맙소사, 다음 번에는 네가 이기도록 놔둘게.","당신은, 견습생 시추 문제 있나요?"
"시추에 문제가 있나, 프로비?","아니, 난 시추에 문제가 없어. 하지만 한번만 드릴로 하자. 회사를 위한 것도 아니고 나를 위한 것도 아니다."
"아니, 난 시추에 문제가 없어. 하지만 한번만 드릴로 하자. 회사를 위한 것도 아니고 나를 위한 것도 아니다.",호스를 굴려라.
준비됐나요,"맙소사, 스티븐, 호스팀을 기다려보자..."
"맙소사, 스티븐, 호스팀을 기다려보자...","들어봐, 브라이언... 내가 말했을 때 점프... 그건 우리를 이해시킬 수 없을 것이다."
너 괜찮니?,난 기다렸어... 난 빌어먹을 기다렸을 거야...
난 기다렸어... 난 빌어먹을 기다렸을 거야...,"그런 게 아니야, 브라이언 중요한 건 그 안에 아이가 있었다는 거야 만약 두 개였다면? 그게 내가 하는 일이니까 들어갔어. 내 방식이야. 아빠 방식이야. 모든 사람의 뜻대로 되는 것은 아니다."
"그런 게 아니야, 브라이언 중요한 건 그 안에 아이가 있었다는 거야 만약 두 개였다면? 그게 내가 하는 일이니까 들어갔어. 내 방식이야. 아빠 방식이야. 모든 사람의 뜻대로 되는 것은 아니다.",아빠 방식? 그가 어디서 그런 말을 했니? 빌어먹을 참견으로?
아빠 방식? 그가 어디서 그런 말을 했니? 빌어먹을 참견으로?,"뭔가 알고 싶다고 했잖아, 브라이언 오늘은 무엇을 배웠니? 어때, 브라이언? 다음 단계로 넘어갈 시간?"
"이봐, 넌 공정한 게임을 하고 있는거야.",통찰력을 줘서 고마워.
통찰력을 줘서 고마워.,"브라이언, 봐봐."
"브라이언, 봐봐.","날 좀 내버려 둬, 알았지?"
"지금은 안돼, 브라이언","맨손으로 또 불을 지펴야 했지? 네 약혼자를 돌보는 대신 그 안에 있는 빌어먹을 신화맨이 되어야 했어 그렇게 된 거야? 그래, 스티븐?"
"맨손으로 또 불을 지펴야 했지? 네 약혼자를 돌보는 대신 그 안에 있는 빌어먹을 신화맨이 되어야 했어 그렇게 된 거야? 그래, 스티븐?",나는 그 불을 가지고 있었다. 그는 듣지 않았어!
나는 그 불을 가지고 있었다. 그는 듣지 않았어!,"안 들으셨어요? 그는 빌어먹을 후보였어! 그는 너의 책임이었다. 그는 애초에 그곳에 가지 말았어야 했어, 스티븐. 네가 태워버렸어"
"안 들으셨어요? 그는 빌어먹을 후보였어! 그는 너의 책임이었다. 그는 애초에 그곳에 가지 말았어야 했어, 스티븐. 네가 태워버렸어",엿 먹어.
"야, 너 여기서 뭐하니?",그냥... 그냥 인사하고 싶어서...
그냥... 그냥 인사하고 싶어서...,그래서 안녕.
"글쎄, 네가 여기 있는 한 청소를 좀 도와줄 수 있을 거야 몇 분 후에 이 일을 보러 오는 사람이 있다.",아빠 배를 판다고?
아빠 배를 판다고?,"그래, 지금 내 인생의 또 다른 기억일 뿐이야. 그리고 난 너무 많은 것들을..."
"그래, 지금 내 인생의 또 다른 기억일 뿐이야. 그리고 난 너무 많은 것들을...",난 정말 돌아가야겠어. 저기... 내가 해야 할 일이 있어
난 정말 돌아가야겠어. 저기... 내가 해야 할 일이 있어,"그래? 어쩔 셈이야? 너 좀 봐. 네 얼굴 좀 봐. 네가 생각하고 있는 모든 것들. 야, 너 정말 내 배짱을 싫어하나 봐. 글쎄, 이거 알아? 괜찮아"
"그래? 어쩔 셈이야? 너 좀 봐. 네 얼굴 좀 봐. 네가 생각하고 있는 모든 것들. 야, 너 정말 내 배짱을 싫어하나 봐. 글쎄, 이거 알아? 괜찮아","스티븐, 다른 얘기 좀 하자"
"스티븐, 다른 얘기 좀 하자","- 좋아, 그럼 넌 날 좋아하지 않는구나. 넌 내가 한 모든 것을 좋아하지 않아. 뭐, 내가 널 키웠던 것처럼 그렇게 천재가 아니었기 때문에? 맙소사, 아빠가 가셨어. 내가 어떻게 해야 했지? 말해봐, 내가 대체 뭘 어쨌다는 거야?!"
"괜찮아, 스티븐. 난..","- 노력했어, 알지? 헬렌 말이 맞아 모든 해답은 없지만 빌어먹을, 몇 가지 해답은 있어. 이봐, 넌 네가 해야 할 일을 할 거야 내가 방해하지 말았어야 했어 난 네 형이지 네 아버지가 아니야 어서, 어디 가야 돼? 가..."
나는 그것을 보았다.,뭘 봤지?
뭘 봤지?,"아빠가 돌아가셨을 때, 난 또 다른 불을 보았어..."
"아빠가 돌아가셨을 때, 난 또 다른 불을 보았어...",모두가 그랬다.
모두가 그랬다.,나는 그들이 오기 전에 그것을 보았다. 소리 지르려고 했지만... 그는 나에게 그를 돌봐달라고 부탁했다. 그리고 나는 그것을 하지 않았다. 나는 그를 죽게 내버려두었다.
나는 그들이 오기 전에 그것을 보았다. 소리 지르려고 했지만... 그는 나에게 그를 돌봐달라고 부탁했다. 그리고 나는 그것을 하지 않았다. 나는 그를 죽게 내버려두었다.,"...제길, 그걸 20년 동안이나 가지고 다녔단 말인가? 맙소사, 넌 7살이었어! 그가 네 말을 들을 수 있었다고 생각해?"
"...제길, 그걸 20년 동안이나 가지고 다녔단 말인가? 맙소사, 넌 7살이었어! 그가 네 말을 들을 수 있었다고 생각해?","난 가끔 그가 너무 싫어, 스티븐. 내가 그 유니폼을 입기 얼마나 힘들었는지 모르잖아..."
"난 가끔 그가 너무 싫어, 스티븐. 내가 그 유니폼을 입기 얼마나 힘들었는지 모르잖아...","아마 그럴지도 모르지…완전 엉망진창이야, 응? 사람들은 브라이언을 바꿀 수 있다."
"아마 그럴지도 모르지…완전 엉망진창이야, 응? 사람들은 브라이언을 바꿀 수 있다.",가끔 당신이 그들을 보고 있을 때.
"맙소사, 스티븐, 무슨 일이야?","모르겠어, 브라이언... 나도 몰라..."
"- 스티븐, 잠깐만. 할 얘기가 있어 애드콕스입니다, 그는--",-여기서 뭐 하는 거야?
